P1,F
-5.0,79.0
-4.997999599919984,78.94000000240096
-4.995999199839968,78.8800240144048
-4.993998799759952,78.82007203601152
-4.991998399679936,78.76014406722112
-4.98999799959992,78.70024010803361
-4.987997599519904,78.64036015844897
-4.985997199439888,78.58050421846721
-4.983996799359872,78.52067228808835
-4.981996399279856,78.46086436731235
-4.97999599919984,78.40108045613924
-4.977995599119824,78.34132055456901
-4.975995199039808,78.28158466260166
-4.973994798959792,78.22187278023718
-4.971994398879776,78.16218490747559
-4.96999399879976,78.10252104431689
-4.967993598719744,78.04288119076105
-4.965993198639728,77.98326534680811
-4.963992798559712,77.92367351245804
-4.961992398479696,77.86410568771086
-4.95999199839968,77.80456187256655
-4.957991598319664,77.74504206702512
-4.955991198239648,77.68554627108658
-4.953990798159632,77.62607448475092
-4.951990398079616,77.56662670801813
-4.9499899979996,77.50720294088823
-4.947989597919584,77.44780318336122
-4.945989197839568,77.38842743543708
-4.943988797759552,77.32907569711581
-4.941988397679536,77.26974796839744
-4.93998799759952,77.21044424928193
-4.937987597519504,77.15116453976933
-4.935987197439488,77.09190883985958
-4.933986797359472,77.03267714955273
-4.931986397279456,76.97346946884876
-4.92998599719944,76.91428579774767
-4.927985597119424,76.85512613624945
-4.925985197039408,76.79599048435412
-4.923984796959392,76.73687884206167
-4.921984396879376,76.6777912093721
-4.91998399679936,76.6187275862854
-4.917983596719344,76.5596879728016
-4.915983196639328,76.50067236892068
-4.913982796559312,76.44168077464262
-4.911982396479296,76.38271318996746
-4.90998199639928,76.32376961489517
-4.907981596319264,76.26485004942576
-4.905981196239248,76.20595449355923
-4.903980796159232,76.1470829472956
-4.901980396079216,76.08823541063484
-4.8999799959992,76.02941188357696
-4.897979595919184,75.97061236612196
-4.895979195839168,75.91183685826982
-4.893978795759152,75.85308536002059
-4.891978395679136,75.79435787137423
-4.88997799559912,75.73565439233074
-4.887977595519104,75.67697492289015
-4.885977195439088,75.61831946305243
-4.883976795359072,75.5596880128176
-4.881976395279056,75.50108057218564
-4.87997599519904,75.44249714115657
-4.877975595119024,75.38393771973038
-4.875975195039008,75.32540230790707
-4.8739747949589916,75.26689090568664
-4.8719743948789755,75.20840351306909
-4.8699739947989595,75.1499401300544
-4.8679735947189435,75.09150075664262
-4.8659731946389275,75.03308539283371
-4.8639727945589115,74.97469403862767
-4.8619723944788955,74.91632669402453
-4.8599719943988795,74.85798335902427
-4.8579715943188635,74.79966403362688
-4.8559711942388475,74.74136871783237
-4.8539707941588315,74.68309741164074
-4.8519703940788155,74.62485011505201
-4.8499699939987995,74.56662682806615
-4.8479695939187835,74.50842755068317
-4.8459691938387675,74.45025228290307
-4.8439687937587514,74.39210102472585
-4.841968393678735,74.3339737761515
-4.839967993598719,74.27587053718004
-4.837967593518703,74.21779130781147
-4.835967193438687,74.15973608804576
-4.833966793358671,74.10170487788295
-4.831966393278655,74.04369767732301
-4.829965993198639,73.98571448636596
-4.827965593118623,73.92775530501179
-4.825965193038607,73.86982013326049
-4.823964792958591,73.81190897111208
-4.821964392878575,73.75402181856654
-4.819963992798559,73.69615867562389
-4.817963592718543,73.63831954228412
-4.815963192638527,73.58050441854724
-4.813962792558511,73.52271330441322
-4.811962392478495,73.46494619988209
-4.809961992398479,73.40720310495385
-4.807961592318463,73.34948401962848
-4.805961192238447,73.291788943906
-4.803960792158431,73.23411787778639
-4.801960392078415,73.17647082126966
-4.799959991998399,73.11884777435581
-4.797959591918383,73.06124873704486
-4.795959191838367,73.00367370933678
-4.793958791758351,72.94612269123158
-4.791958391678335,72.88859568272925
-4.789957991598319,72.83109268382981
-4.787957591518303,72.77361369453325
-4.785957191438287,72.71615871483958
-4.783956791358271,72.65872774474877
-4.781956391278255,72.60132078426086
-4.779955991198239,72.54393783337582
-4.777955591118223,72.48657889209368
-4.775955191038207,72.4292439604144
-4.773954790958191,72.371933038338
-4.771954390878175,72.31464612586448
-4.769953990798159,72.25738322299385
-4.767953590718143,72.2001443297261
-4.765953190638127,72.14292944606123
-4.763952790558112,72.08573857199927
-4.761952390478096,72.02857170754015
-4.75995199039808,71.97142885268394
-4.757951590318064,71.91431000743059
-4.755951190238048,71.85721517178013
-4.753950790158032,71.80014434573253
-4.751950390078016,71.74309752928782
-4.749949989998,71.686074722446
-4.747949589917984,71.62907592520706
-4.745949189837968,71.572101137571
-4.743948789757952,71.51515035953781
-4.741948389677936,71.45822359110751
-4.73994798959792,71.40132083228009
-4.737947589517904,71.34444208305554
-4.735947189437888,71.2875873434339
-4.733946789357872,71.23075661341511
-4.731946389277856,71.17394989299922
-4.72994598919784,71.1171671821862
-4.727945589117824,71.06040848097606
-4.725945189037808,71.0036737893688
-4.723944788957792,70.94696310736444
-4.721944388877776,70.89027643496293
-4.71994398879776,70.83361377216433
-4.717943588717744,70.7769751189686
-4.715943188637728,70.72036047537574
-4.713942788557712,70.66376984138577
-4.711942388477696,70.60720321699868
-4.70994198839768,70.55066060221446
-4.707941588317664,70.49414199703314
-4.705941188237648,70.4376474014547
-4.703940788157632,70.38117681547914
-4.701940388077616,70.32473023910644
-4.6999399879976,70.26830767233665
-4.697939587917584,70.2119091151697
-4.695939187837568,70.15553456760567
-4.693938787757552,70.0991840296445
-4.691938387677536,70.04285750128622
-4.68993798759752,69.98655498253082
-4.687937587517504,69.9302764733783
-4.685937187437488,69.87402197382866
-4.683936787357472,69.8177914838819
-4.681936387277456,69.76158500353802
-4.67993598719744,69.70540253279702
-4.677935587117424,69.6492440716589
-4.675935187037408,69.59310962012367
-4.673934786957392,69.53699917819131
-4.671934386877376,69.48091274586184
-4.66993398679736,69.42485032313525
-4.667933586717344,69.36881191001154
-4.665933186637328,69.3127975064907
-4.663932786557312,69.25680711257276
-4.661932386477296,69.20084072825767
-4.65993198639728,69.1448983535455
-4.657931586317264,69.08897998843618
-4.655931186237248,69.03308563292975
-4.653930786157232,68.9772152870262
-4.651930386077216,68.92136895072554
-4.6499299859972,68.86554662402774
-4.647929585917184,68.80974830693285
-4.645929185837168,68.75397399944082
-4.643928785757152,68.69822370155168
-4.641928385677136,68.64249741326542
-4.63992798559712,68.58679513458203
-4.637927585517104,68.53111686550153
-4.635927185437088,68.47546260602391
-4.633926785357072,68.41983235614917
-4.631926385277056,68.36422611587732
-4.62992598519704,68.30864388520833
-4.627925585117024,68.25308566414223
-4.625925185037008,68.19755145267901
-4.6239247849569916,68.14204125081869
-4.6219243848769755,68.08655505856122
-4.6199239847969595,68.03109287590665
-4.6179235847169435,67.97565470285495
-4.6159231846369275,67.92024053940615
-4.6139227845569115,67.8648503855602
-4.6119223844768955,67.80948424131716
-4.6099219843968795,67.754142106677
-4.6079215843168635,67.6988239816397
-4.6059211842368475,67.64352986620528
-4.6039207841568315,67.58825976037377
-4.6019203840768155,67.5330136641451
-4.5999199839967995,67.47779157751935
-4.5979195839167835,67.42259350049645
-4.5959191838367675,67.36741943307646
-4.5939187837567514,67.31226937525932
-4.591918383676735,67.2571433270451
-4.589917983596719,67.20204128843372
-4.587917583516703,67.14696325942525
-4.585917183436687,67.09190924001965
-4.583916783356671,67.03687923021693
-4.581916383276655,66.98187323001707
-4.579915983196639,66.92689123942012
-4.577915583116623,66.87193325842604
-4.575915183036607,66.81699928703485
-4.573914782956591,66.76208932524652
-4.571914382876575,66.7072033730611
-4.569913982796559,66.65234143047853
-4.567913582716543,66.59750349749886
-4.565913182636527,66.54268957412206
-4.563912782556511,66.48789966034815
-4.561912382476495,66.43313375617711
-4.559911982396479,66.37839186160897
-4.557911582316463,66.3236739766437
-4.555911182236447,66.26898010128131
-4.553910782156431,66.2143102355218
-4.551910382076415,66.15966437936518
-4.549909981996399,66.10504253281141
-4.547909581916383,66.05044469586056
-4.545909181836367,65.99587086851257
-4.543908781756351,65.94132105076747
-4.541908381676335,65.88679524262523
-4.539907981596319,65.8322934440859
-4.537907581516303,65.77781565514942
-4.535907181436287,65.72336187581585
